0,1
What is Irancell?,Irancell is the Irancell Telecommunications Services Company.
Who is the Auctioneer in Irancell's golden numbers auction?,The Auctioneer in Irancell's golden numbers auction is Irancell Telecommunications Services Company.
"Define ""Subscriber"" in Irancell's terms and conditions.","""Subscriber"" refers to any natural person granted the right to use the SIM Card and connect via Irancell network upon registration and acceptance of the Master Subscriber Agreement."
"What is a ""Bidder"" in Irancell's golden numbers auction?","A ""Bidder"" is either an Irancell prepaid or postpaid subscriber participating in the auction for Golden Numbers by entering the auction portal and registering their bid."
"Explain the term ""Golden Number"" in Irancell's context.","""Golden Number"" refers to SIM cards whose number is defined by Irancell's supervisory committee based on the order of digits and/or repetition of particular digits."
"What is the purpose of the ""e-Auction"" process?","The ""e-Auction"" process allows subscribers to submit bids for purchasing Golden SIM Cards through Irancell's auction portal. The SIM Card is transferred to the highest bidder after completing the registration and payment process."
Where can applicants enroll for the golden numbers auction?,"Applicants can enroll for the golden numbers auction through Irancell's portal at rond.irancell.ir, known as the Auction Portal."
"What is meant by ""Close to Auction End"" in Irancell's terms?","""Close to Auction End"" refers to the last 24 hours before the end of an auction."
"Define ""Suggested Opening Bid"" in the context of Irancell's auction.","""Suggested Opening Bid"" is the minimum price set by Irancell for the allocation of a Golden Number, and it may vary for each number."
"What is the ""Earnest Money Deposit"" in Irancell's auction process?","The ""Earnest Money Deposit"" is an amount paid by each subscriber via the Internet gateway at Irancell's portal to the nominated account. It is required to enter each auction and is also known as the ""Deposit."""
Who is eligible to participate in Irancell's auction for Golden Numbers?,All Irancell natural persons may participate by going to the Irancell auction portal and paying the preset Deposit.
What are the eligibility criteria for participants in the auction?,"Participants must be qualified under applicable law for performing transactions, ownership of assets, and financial rights. Additionally, participants must be at least 18 years old."
How can applicants under 18 years old participate in the auction?,Applicants under 18 years old may participate through their guardian or legal custodian. The Golden Number will be registered in the name of the guardian or custodian and can be used by the applicant under their control.
What is the minimum age requirement for participants in the auction?,Participants must be at least 18 years old to be eligible for the auction.
Can individuals who are not Irancell subscribers participate in the auction?,The text doesn't provide information on this. Please check the terms and conditions for clarification.
What is the significance of paying the preset Deposit for participants?,Paying the preset Deposit is a requirement for participants to enter the auction and purchase Golden Numbers.
Where can participants pay the preset Deposit for the auction?,Participants can pay the preset Deposit through the Irancell auction portal.
How is the registration of a Golden Number handled for applicants under 18 years old?,"For applicants under 18 years old, the Golden Number will be registered in the name of their guardian or custodian, and its use will be under their control."
Are there any exceptions to the minimum age requirement for participants?,The text doesn't provide information on exceptions. Please refer to the terms and conditions for details.
What is the purpose of having participants qualified under applicable law?,Having participants qualified under applicable law ensures that they are legally capable of performing transactions and have ownership of assets and financial rights.
How can subscribers enter their user account via the Irancell auction portal?,Subscribers can use their email address and password to enter their user account via the auction portal.
What is the minimum payment required for subscribers to enter the auction?,Each subscriber is required to pay at least 20 percent of the amount they wish to bid for the auction to enter.
What happens to the Earnest Money Deposit if a bidder is not among the top 3 winners?,"If a bidder is not among the top 3 winners, the Earnest Money Deposit will be refunded within 4 working days upon request."
How can a bidder request a refund for the Earnest Money Deposit?,"The bidder can request a refund by entering the auction portal and clicking on ""Request on reimbursement to the bank account"" if not among the top 3 winners."
What is the maximum number of Irancell SIM cards allowed per natural person?,Each natural person is allowed to register and activate at most 10 Irancell SIM cards using one National ID number.
What happens if a subscriber's SIM card ownership reaches the limit of 10 cards?,"The subscriber can register the SIM card for another person, and upon identification, the SIM card will be delivered to the new owner. Alternatively, the subscriber can deactivate one of their SIM cards."
What options does a bidder have if they win several bids simultaneously?,"The bidder can pay the full price for each SIM card, register them to another person, or deactivate one of their SIM cards."
